"Teams","Points","rating"
"Evil Geniuses",1700,1700
"PSG.LGD",1300,1300
"Virtus.pro",1200,1200
"Quincy Crew",1100,1100
"INVICTUS GAMING",1100,1100
"T1",1070,1070
"Vici Gaming",950,950
"Team Secret",950,950
"Team Aster",800,800
"Alliance",800,800
"beastcoast",800,800
"Thunder Predator",800,800
"Nigma",670,670
"Team Spirit",585,585
"NoPing Esports",585,585
"TNC Predator",572.25,572.25
"OB.Neon",552.5,552.5
"Fnatic",446.25,446.25
"Team Liquid",400,400
"Undying",400,400
"AS Monaco Gambit",267.33,267.33
"Execration",200,200
"4 Zoomers",200,200
"Natus Vincere",184.24,184.24
"SG esports",170,170
"Team Unique",100,100
"Infamous Gaming",85,85
"Elephant",85,85
"PuckChamp",50,50
"Tundra Esports ",50,50
"Hokori",42.5,42.5
"Simply TOOBASED",42.5,42.5
"BOOM Esports",42.5,42.5
" EXTREMUM",42.5,42.5
"OG",36.13,36.13
"sadboys",22.19,22.19
"Unknown Team",22.19,22.19
"496 Gaming",0,0
"5ManMidas",0,0
"A-Team",0,0
"Black N Yellow",0,0
"Brame",0,0
"Chicken Fighters",0,0
"EgoBoys",0,0
"EHOME",0,0
"Hellbear Smashers",0,0
"Infinity",0,0
"Latam Defenders",0,0
"LBZS",0,0
"Lilgun ",0,0
"NoTechies",0,0
"Ωmega Esports",0,0
"Royal Never Give Up",0,0
"South Built Esports",0,0
"Sparking Arrow Gaming",0,0
"Team Empire",0,0
"Team MagMa",0,0
"The Cut",0,0
"Vikin.gg",0,0
"Winstrike Team",0,0
